"date","state","Total number of new cases in 7 days to reach circuit breaker","Average daily cases to reach circuit breaker","Total number of new hospitalizations in 7 days to reach circuit breaker","Average daily hospitalizations to reach circuit breaker","Total Beds","Open Beds (HHS Data)","Open Beds","Total ICU Beds","Open ICU Beds","Average New Daily Cases","New Cases Yesterday (State)","Average daily cases to reach ICU circuit breaker","casethresholdpct","Percent Occupied (State Nowcast)","Percent Occupied (State HHS Data)","ICU Percent Occupied","At Threshold?","At ICU Threshold?","Category","ICU Category","Warning"
2022-09-25,"WY",8913.87005967006,1273.41000852429,723.274544315334,103.324934902191,1196.1,1017,686.274544315334,126,90,72.8571428571429,0,2679.66023166023,5.72142062410631,42.6239825837862,36.6355140186916,28.5714285714286,"No","No","Has Capacity","Has Capacity",
2022-09-26,"AK",6365.27929465302,909.325613521859,238.697973549488,34.0997105070697,1219.5,388,202.697973549488,159,26,92.1428571428571,0,3306.66666666667,10.1330981743694,83.3785999549415,76.9596199524941,83.6477987421384,"No","No","Has Capacity","Has Capacity",
2022-09-26,"AL",60793.26407988,8684.75201141143,3105.84806905516,443.692581293594,11643.5,3826,2790.84806905516,1542,367,758.428571428571,246,17080.4272727273,8.73287539393209,76.0308492372984,72.5360706338382,76.1997405966277,"No","No","Has Capacity","Has Capacity",
2022-09-26,"AR",34358.6606990194,4908.38009985991,2012.26975245686,287.467107493837,5890.6,2342,1743.26975245686,885,262,492.714285714286,172,8209.13722320995,10.038225966411,70.4059051292422,68.3427953500946,70.3954802259887,"No","No","Has Capacity","Has Capacity",
2022-09-26,"AZ",64572.7834555146,9224.68335078781,3039.21582532901,434.173689332716,11033.8,4349,2751.21582532901,1630,669,571.285714285714,0,32347.8385416667,6.19301164670249,75.0655637647138,70.5112557634934,58.9570552147239,"No","No","Has Capacity","Has Capacity",
2022-09-26,"CA",174175.259716596,24882.1799595137,12428.3966634762,1775.48523763945,51304.9,14842,10187.3966634762,6562,2120,5072.42857142857,0,99765.8142166404,20.3857884625946,80.1434236038348,75.5996514705641,67.6927765925023,"No","No","Has Capacity","Has Capacity",
2022-09-26,"CO",53119.6674064113,7588.52391520161,2945.40349408414,420.771927726305,8247.4,3405,2700.40349408414,1247,516,658.428571428571,383,25143.6555526107,8.67663565123097,67.2575175924032,66.5717651678775,58.6206896551724,"No","No","Has Capacity","Has Capacity",
2022-09-26,"CT",26376.3112933321,3768.04447047601,1986.03526363998,283.71932337714,6714.6,1791,1469.03526363998,909,316,696.571428571429,335,15776.7054627708,18.4862847036259,78.1217754797013,76.2529832935561,65.2365236523652,"No","No","Has Capacity","Has Capacity",
2022-09-26,"DC",4687.44483138599,669.634975912284,521.484351405201,74.4977644864573,2676.1,715,428.484351405201,322,81,93.1428571428571,0,3209.98571428571,13.9094970384369,83.9884775828556,78.9085545722714,74.8447204968944,"No","No","Has Capacity","Has Capacity",
2022-09-26,"DE",5669.32881792719,809.904116846741,475.319030947225,67.9027187067464,2102.7,501,358.319030947225,181,41,214,0,2406.97720797721,26.4228808754772,82.9590987327139,80.1032565528197,77.3480662983425,"No","No","Has Capacity","Has Capacity",
2022-09-26,"FL",65872.2527898795,9410.32182712565,7248.00024697456,1035.42860671065,40436.4,13364,4998.00024697456,6501,2045,2271.14285714286,897,50469.1426056483,24.1345928318434,87.639848633967,75.0289622183191,68.5433010306107,"No","No","Has Capacity","Has Capacity",
2022-09-26,"GA",47706.4860192607,6815.21228846581,3384.73158062915,483.533082947022,13108.7,3990,2697.73158062915,2608,613,1050.42857142857,0,24468.9961106875,15.4129985533442,79.420296592117,79.8637395912188,76.4953987730061,"No","No","Has Capacity","Has Capacity",
