"date","state","avgnewcases","new_case"
2021-10-07,"VI",23.7,31
2021-10-07,"VT",151.5,276
2021-10-07,"WA",2641.1,2913
2021-10-07,"WI",3098.6,3213
2021-10-07,"WV",1266.9,1525
2021-10-07,"WY",482.9,681
2021-10-08,"AK",872.7,824
2021-10-08,"AL",1287.3,1012
2021-10-08,"AR",759.8,739
2021-10-08,"AS",0.2,0
2021-10-08,"AZ",2661,2702
2021-10-08,"CA",6786.9,6710
2021-10-08,"CO",1921,2911
2021-10-08,"CT",427.8,509
2021-10-08,"DC",136.8,168
2021-10-08,"DE",454.4,516
2021-10-08,"FL",3982.7,3213
2021-10-08,"FSM",0,0
2021-10-08,"GA",3326.2,3274
2021-10-08,"GU",121.2,51
2021-10-08,"HI",235.4,192
2021-10-08,"IA",1330.5,1535
2021-10-08,"ID",1393.1,1682
2021-10-08,"IL",2893.3,2744
2021-10-08,"IN",2589.6,3444
2021-10-08,"KS",994.9,1106
2021-10-08,"KY",2327.5,1710
2021-10-08,"LA",871.6,787
2021-10-08,"MA",1481.2,1824
2021-10-08,"MD",1189.1,1176
2021-10-08,"ME",582,537
2021-10-08,"MI",4370.2,4916
2021-10-08,"MN",2948.8,3645
2021-10-08,"MO",1479.8,1288
2021-10-08,"MP",1,4
2021-10-08,"MS",732.4,346
2021-10-08,"MT",1019,1308
2021-10-08,"NC",3841.4,4266
2021-10-08,"ND",627.9,552
2021-10-08,"NE",685.9,825
2021-10-08,"NH",514,646
2021-10-08,"NJ",1806.6,1869
2021-10-08,"NM",755.9,973
2021-10-08,"NV",717.5,745
2021-10-08,"NY",5034,5635
2021-10-08,"OH",5776.8,6651
2021-10-08,"OK",1394.9,1721
2021-10-08,"OR",1492.2,1557
2021-10-08,"PA",4936.9,5583
2021-10-08,"PR",135.1,113
2021-10-08,"PW",0.3,3
2021-10-08,"RI",288,263
2021-10-08,"RMI",0,0
2021-10-08,"SC",2050.5,1837
2021-10-08,"SD",382.5,351
2021-10-08,"TN",2847.8,2519
2021-10-08,"TX",8441.4,8431
2021-10-08,"UT",1518.6,1637
2021-10-08,"VA",2704.6,2532
2021-10-08,"VI",22.6,9
2021-10-08,"VT",169.2,249
2021-10-08,"WA",2598.4,2300
